Title,Category,Year,Violence
The Elder Scrolls: Daggerfall Interactive Demo,Role-Playing,1995,True
Electranoid,Arcade,1995,False
Electro Man,Platform,1992,False
Elfland,Platform,1992,False
Empire Deluxe,Turn-Based Strategy,1993,False
Empire II: The Art of War,Turn-Based Strategy,1995,False
Epic Baseball,Sport,1993,False
Epic Pinball,Sport,1993,False
Erachacha,Platform,1996,False
Eradicator,First-Person Shooter,1996,True
Escape from Monster-Castle,Arcade,1993,False
Evasive Action,Simulation,1994,False
Evasive Maneuvers,Shooter,1994,False
The Even More! Incredible Machine,Puzzle,1993,False
Excelsior Phase One: Lysandia,Role-Playing,1993,False
Extreme Assault,First-Person Shooter,1997,False
Extreme Pinball,Sport,1995,False
Eye of the Beholder II: The Legend of Darkmoon,Role-Playing,1991,True
F-117A Nighthawk Stealth Fighter 2.0,Simulation,1991,False
F-15 Strike Eagle II,Simulation,1989,False
F-15 Strike Eagle III,Simulation,1992,False
F-19 Stealth Fighter,Simulation,1988,False
F-22 Lightning II,Simulation,1996,False
F. Godmom,Arcade,1991,False
Fade to Black,Adventure,1995,False
Falcon 3.0,Simulation,1991,False
Fallout,Role-Playing,1997,True
Fantasy General,Turn-Based Strategy,1996,False
Fatal Fumes,Racing,1996,False
FIFA Soccer 97,Sport,1996,False
Fighter Duel Special Edition,Simulation,1996,False
Firefall,Arcade,1993,False
Flashback,Platform,1992,True
Flight of the Amazon Queen,Adventure,1995,False
Flying Tigers,Shooter,1994,False
The Fool's Errand,Puzzle,1989,False
Ford Simulator,Racing,1987,False
Ford Simulator III,Racing,1992,False
The Fortress of Dr. Radiaki,First-Person Shooter,1994,True
Four,Traditional,2002,False
The Fourth Generation,Shooter,1997,False
Fragile Allegiance,Real-Time Strategy,1997,False
Framed,Platform,1995,False
Full Throttle,Adventure,1995,False
Fuzzy's World of Miniature Space Golf,Sport,1995,False
FX Fighter,Fighting,1995,True
Gabriel Knight: Sins of the Fathers,Adventure,1993,True
Gaia,Miscellaneous,1996,False
Galactix,Shooter,1993,False
Ganja Farmer,Arcade,1995,False
Gemstones III,Arcade,1994,False
General Budda's Labyrinth,Puzzle,1991,False
Genewars,Real-Time Strategy,1996,False
Genius's Puzzle Pack 3.0,Puzzle,2002,False
Get Lost!,Puzzle,1996,False
Gladiator,Arcade,1995,True
Glook,Shooter,1996,False
Gobliiins,Adventure,1992,False
Gobliins 2: The Prince Buffoon,Adventure,1992,False
Goblins Quest 3,Adventure,1993,False
Gobman,Arcade,1992,False
God of Thunder,Arcade,1993,False
Gods,Platform,1991,False
Gold Rush!,Adventure,1988,False
Gondwana,Platform,2017,True
Grand Theft Auto,Adventure,1997,True
The Great Giant Sisters,Platform,1998,False
Grid Poker,Traditional,1994,False
Guimo,Platform,1997,True
Gunmetal,First-Person Shooter,1998,False
Gunship 2000,Simulation,1991,False
H.U.R.L.,First-Person Shooter,1995,False
H2O,Puzzle,1996,False
HACX,First-Person Shooter,1997,True
Hammer of the Gods,Turn-Based Strategy,1994,False
Hamsters,Puzzle,1994,False
Happyland Adventures,Platform,2000,False
Hardball 4,Sport,1994,False
Heartlight,Puzzle,1994,False
Hell to Pay,First-Person Shooter,1996,True
Heretic,First-Person Shooter,1994,True
Hero's Heart,Puzzle,1992,False
Heroes,Arcade,1998,False
Heroes 1/4: The Tantalizing Trio,Platform,1994,False
Heroes of Might and Magic,Turn-Based Strategy,1995,False
Heroes of Might and Magic II: The Succession Wars,Turn-Based Strategy,1996,False
Heros I: The Sanguine Seven,Platform,1993,False
Hexen: Beyond Heretic,Adventure,1995,True
Hexx: Heresy of the Wizard,Role-Playing,1994,False
Hexxagon,Puzzle,1993,False
Hi-Octane,Racing,1995,False
The Hidden Below,First-Person Shooter,1994,True
Highway Hunter,Shooter,1995,False
HIND: The Russian Combat Helicopter Simulation,Simulation,1996,False
Hocus Pocus,Platform,1994,False
Holiday Lemmings 1993,Puzzle,1993,False
Hoosier City,Shooter,1992,False
Horde: The Northern Wind,Real-Time Strategy,1999,True
"Hugo II, Whodunit?",Adventure,1991,False
"Hugo III, Jungle of Doom!",Adventure,1992,False
Hugo's House of Horrors,Adventure,1990,False
Hyper 3-D Pinball,Sport,1995,False
Ignition,Racing,1997,False
Igor: Objective Uikokahonia,Adventure,1994,False
Iko San,Puzzle,1997,False
In Pursuit of Greed,First-Person Shooter,1995,True
In Search of Dr. Riptide,Shooter,1994,False
In the Dead of Night,Adventure,1995,True
The Incredible Machine,Puzzle,1993,False
The Incredible Machine 2,Puzzle,1994,False
Indiana Jones and the Fate of Atlantis,Adventure,1992,False
Indiana Jones and The Last Crusade: The Graphic Adventure,Adventure,1989,False
Industrial Killers,First-Person Shooter,1995,True
IndyCar Racing II,Racing,1996,False
The Infernal Tome,Role-Playing,1994,False
Inner Worlds,Platform,1996,False
International Ninja Rabbits,Fighting,1993,True
Interpose,Shooter,1996,False
Interpose X-mas Greetings,Shooter,1996,False
Invasion of the Mutant Space Bats of Doom,Shooter,1994,False
Iron Blood,Platform,1996,False
Iron Seed,Adventure,1994,False
Ishar 2: Messengers of Doom,Role-Playing,1993,False
Ishar 3: The Seven Gates of Infinity,Role-Playing,1994,False
Island Conquest II,Turn-Based Strategy,1996,False
Island Hopper,Shooter,1996,False
Isle of the Dead,Adventure,1993,True
Jack Flash,Platform,1995,False
Jagged Alliance,Turn-Based Strategy,1995,True
Jagged Alliance: Deadly Games,Turn-Based Strategy,1996,True
Jane's Combat Simulations: Advanced Tactical Fighters,Simulation,1996,False
Jasper's Journeys,Platform,1997,False
Jazz Jackrabbit,Platform,1994,False
Jazz Jackrabbit: Holiday Hare 1994,Platform,1994,False
Jazz Jackrabbit: Holiday Hare 1995,Platform,1995,False
The Jelly Bean Factory,Puzzle,1993,False
JetFighter III,Simulation,1997,False
JetFighter: Full Burn,Simulation,1998,False
Jetpack,Arcade,1993,False
Jetpack Christmas Special,Arcade,1993,False
Jetstrike,Shooter,1994,False
Jigsaw Puzzle,Puzzle,1994,False
Jill of the Jungle,Platform,1992,False
Joust VGA,Arcade,1990,False
Jump 'n Bump,Arcade,1998,True
Jungle Strike,Shooter,1995,False
Jurassic War,Real-Time Strategy,1997,False
Kaeon,Shooter,1992,False
Kaos,First-Person Shooter,2003,True
Ken's Labyrinth,First-Person Shooter,1993,True
Kiloblaster,Shooter,1992,False
King Arthur's KORT,Turn-Based Strategy,1994,False
King's Quest II: Romancing the Throne,Adventure,1987,False
King's Quest III: To Heir is Human,Adventure,1986,False
King's Quest IV: The Perils of Rosella,Adventure,1988,False
King's Quest V: Absence Makes the Heart Go Yonder!,Adventure,1990,False
"King's Quest VI: Heir Today, Gone Tomorrow",Adventure,1992,False
